[-1,-2,1,1]
[1,-3,0,1]
[-1,-3,1,1]
[1,-4,1,1]
[1,-4,0,1]
[3,-5,0,1]
[-2,-4,1,1]
[-1,-4,1,1]
[-7,-6,1,1]
[1,-5,1,1]
[-4,-5,1,1]
[1,-5,0,1]
[-3,-5,1,1]
[2,-6,1,1]
[3,-6,0,1]
[5,-7,0,1]
[-8,-7,1,1]
[2,-6,0,1]
[1,-6,1,1]
[-5,-6,1,1]
[3,-7,1,1]
[1,-6,0,1]
[-10,-8,1,1]
[4,-7,0,1]
[-8,-10,1,1]
[-1,-6,1,1]
[-3,-6,1,1]
[-2,-6,1,1]
[6,-8,0,1]
[-12,-9,1,1]
[3,-7,0,1]
[-6,-7,1,1]
[-9,-8,1,1]
[10,-10,0,1]
[2,-11,0,1]
[1,-7,0,1]
[11,-12,1,1]
[5,-8,0,1]
[-14,-10,1,1]
[-5,-7,1,1]
[3,-8,1,1]
[12,-11,0,1]
[7,-10,1,1]
[5,-9,1,1]
[-4,-7,1,1]
[-1,-7,1,1]
[-11,-9,1,1]
[-2,-7,1,1]
[7,-9,0,1]
[14,-12,0,1]
[2,-8,1,1]
[-16,-11,1,1]
[-8,-12,1,1]
[-7,-8,1,1]
[8,-14,1,1]
[4,-9,1,1]
[-13,-10,1,1]
[1,-8,1,1]
[2,-8,0,1]
[6,-9,0,1]
[-10,-9,1,1]
[1,-8,0,1]
[6,-10,1,1]
[11,-11,0,1]
[4,-13,0,1]
[8,-11,1,1]
[-5,-8,1,1]
[12,-13,1,1]
[18,-14,0,1]
[-1,-8,1,1]
[5,-9,0,1]
[-1,-13,1,1]
[14,-14,1,1]
[-2,-8,1,1]
[13,-12,0,1]
[16,-15,1,1]
[5,-10,1,1]
[2,-9,1,1]
[-12,-14,1,1]
[-8,-9,1,1]
[18,-16,1,1]
[3,-9,0,1]
[7,-10,0,1]
[20,-15,0,1]
[7,-11,1,1]
[15,-13,0,1]
[-23,-14,1,1]
[1,-9,1,1]
[2,-9,0,1]
[-7,-9,1,1]
[-11,-10,1,1]
[-20,-13,1,1]
[5,-15,1,1]
[20,-17,1,1]
[-14,-11,1,1]
[-17,-12,1,1]
[-6,-9,1,1]
[6,-10,0,1]
[12,-16,0,1]
[6,-15,0,1]
[9,-11,0,1]
[8,-16,1,1]
[17,-14,0,1]
[-2,-9,1,1]
[-4,-9,1,1]
[-3,-9,1,1]
[6,-11,1,1]
[13,-14,1,1]
[3,-10,1,1]
[22,-16,0,1]
[5,-10,0,1]
